[2026-01-14 20:26:33.510] [INFO] Starting highlight output generation: Highlight_20260114_202633.mp4
[2026-01-14 20:26:33.511] [INFO] Configuration: skip=0s, max_dur=500s
[2026-01-14 20:26:33.597] [INFO] Opened 2 cameras for output
[2026-01-14 20:26:33.597] [INFO] Camera 0: 1920x1080 @ 30.00fps, skip=0 frames
[2026-01-14 20:26:33.597] [INFO] Camera 1: 1920x1080 @ 30.00fps, skip=0 frames
[2026-01-14 20:26:33.841] [INFO] All cameras synchronized after skip
[2026-01-14 20:26:33.842] [INFO] Trackers and statistics reset
[2026-01-14 20:26:33.842] [INFO] Starting Phase 0: Startup camera selection
[2026-01-14 20:26:33.842] [INFO] Config: scan_frames=900, min_detections=3, conf_threshold=0.12
[2026-01-14 20:27:15.260] [INFO] Camera 0 scan: detections=318, avg_conf=0.61, frames_read=900
[2026-01-14 20:27:56.641] [INFO] Camera 1 scan: detections=564, avg_conf=0.61, frames_read=900
[2026-01-14 20:27:56.642] [INFO] Selected camera 0 with 318 detections, avg_conf=0.61
[2026-01-14 20:27:56.645] [INFO] Trackers and statistics reset
[2026-01-14 20:27:56.645] [INFO] Phase 0 complete: selected camera 0, duration=82.8s
[2026-01-14 20:27:56.646] [INFO] Starting highlight video generation
[2026-01-14 20:27:56.646] [INFO] Starting camera: 0 (RIGHT_CAM)
[2026-01-14 20:27:56.786] [ERROR] Error in camera_switcher.update: 'CameraSwitcher' object has no attribute '_armed_zone'
[2026-01-14 20:27:56.792] [INFO] Video writer initialized: 1920x1080 @ 30.00fps
[2026-01-14 20:27:56.849] [ERROR] Error in camera_switcher.update: 'CameraSwitcher' object has no attribute '_armed_zone'
[2026-01-14 20:27:56.907] [ERROR] Error in camera_switcher.update: 'CameraSwitcher' object has no attribute '_armed_zone'
[2026-01-14 20:27:56.964] [ERROR] Error in camera_switcher.update: 'CameraSwitcher' object has no attribute '_armed_zone'
[2026-01-14 20:27:57.017] [ERROR] Error in camera_switcher.update: 'CameraSwitcher' object has no attribute '_armed_zone'
[2026-01-14 20:28:01.647] [INFO] Progress: 88.0s/500s, 74 frames, 74 written, 0 switches
[2026-01-14 20:28:06.700] [INFO] Progress: 93.0s/500s, 147 frames, 147 written, 0 switches
[2026-01-14 20:28:11.737] [INFO] Progress: 98.1s/500s, 236 frames, 236 written, 0 switches
[2026-01-14 20:28:16.746] [INFO] Progress: 103.1s/500s, 306 frames, 306 written, 0 switches
[2026-01-14 20:28:21.747] [INFO] Progress: 108.1s/500s, 389 frames, 389 written, 0 switches
[2026-01-14 20:28:26.778] [INFO] Progress: 113.1s/500s, 477 frames, 477 written, 0 switches
[2026-01-14 20:28:31.797] [INFO] Progress: 118.1s/500s, 540 frames, 540 written, 0 switches
[2026-01-14 20:28:36.838] [INFO] Progress: 123.2s/500s, 629 frames, 629 written, 0 switches
[2026-01-14 20:28:41.923] [INFO] Progress: 128.2s/500s, 713 frames, 713 written, 0 switches
[2026-01-14 20:28:46.930] [INFO] Progress: 133.3s/500s, 779 frames, 779 written, 0 switches
[2026-01-14 20:28:51.967] [INFO] Progress: 138.3s/500s, 867 frames, 867 written, 0 switches
[2026-01-14 20:28:57.050] [INFO] Progress: 143.4s/500s, 945 frames, 945 written, 0 switches
[2026-01-14 20:29:02.090] [INFO] Progress: 148.4s/500s, 1017 frames, 1017 written, 0 switches
[2026-01-14 20:29:07.145] [INFO] Progress: 153.5s/500s, 1106 frames, 1106 written, 0 switches
[2026-01-14 20:29:12.229] [INFO] Progress: 158.5s/500s, 1175 frames, 1175 written, 0 switches
[2026-01-14 20:29:17.271] [INFO] Progress: 163.6s/500s, 1260 frames, 1260 written, 0 switches
[2026-01-14 20:29:22.294] [INFO] Progress: 168.6s/500s, 1348 frames, 1348 written, 0 switches
[2026-01-14 20:29:27.353] [INFO] Progress: 173.7s/500s, 1411 frames, 1411 written, 0 switches
[2026-01-14 20:29:32.375] [INFO] Progress: 178.7s/500s, 1496 frames, 1496 written, 0 switches
[2026-01-14 20:29:37.382] [INFO] Progress: 183.7s/500s, 1581 frames, 1581 written, 0 switches
[2026-01-14 20:29:42.429] [INFO] Progress: 188.8s/500s, 1645 frames, 1645 written, 0 switches
