[2026-01-15 17:58:52.789] [INFO] Starting highlight output generation: Highlight_20260115_175852.mp4
[2026-01-15 17:58:52.791] [INFO] Configuration: skip=0s, max_dur=600s
[2026-01-15 17:58:52.878] [INFO] Opened 2 cameras for output
[2026-01-15 17:58:52.879] [INFO] Camera 0: 1920x1080 @ 30.00fps, skip=0 frames
[2026-01-15 17:58:52.879] [INFO] Camera 1: 1920x1080 @ 30.00fps, skip=0 frames
[2026-01-15 17:58:53.109] [INFO] All cameras synchronized after skip
[2026-01-15 17:58:53.110] [INFO] Trackers and statistics reset
[2026-01-15 17:58:53.110] [INFO] Starting Phase 0: Startup camera selection
[2026-01-15 17:58:53.110] [INFO] Config: scan_frames=900, min_detections=3, conf_threshold=0.12
[2026-01-15 17:59:35.065] [INFO] Camera 0 scan: detections=285, avg_conf=0.66, frames_read=900
[2026-01-15 18:00:17.596] [INFO] Camera 1 scan: detections=541, avg_conf=0.63, frames_read=900
[2026-01-15 18:00:17.597] [INFO] Selected camera 0 with 285 detections, avg_conf=0.66
[2026-01-15 18:00:17.598] [INFO] Trackers and statistics reset
[2026-01-15 18:00:17.599] [INFO] Phase 0 complete: selected camera 0, duration=84.5s
[2026-01-15 18:00:17.599] [INFO] Starting highlight video generation
[2026-01-15 18:00:17.599] [INFO] Starting camera: 0 (RIGHT_CAM)
[2026-01-15 18:00:17.747] [INFO] Video writer initialized: 1920x1080 @ 30.00fps
[2026-01-15 18:00:22.869] [INFO] Progress: 89.1s/600s, 18 frames, 18 written, 0 switches
[2026-01-15 18:00:28.288] [INFO] Progress: 94.6s/600s, 32 frames, 32 written, 0 switches
[2026-01-15 18:00:33.814] [INFO] Progress: 100.4s/600s, 44 frames, 44 written, 0 switches
[2026-01-15 18:00:38.897] [INFO] Progress: 105.3s/600s, 54 frames, 54 written, 0 switches
[2026-01-15 18:00:44.330] [INFO] Progress: 110.5s/600s, 66 frames, 66 written, 0 switches
[2026-01-15 18:00:50.359] [INFO] Progress: 116.3s/600s, 80 frames, 80 written, 0 switches
[2026-01-15 18:00:55.397] [INFO] Progress: 121.7s/600s, 90 frames, 90 written, 0 switches
[2026-01-15 18:01:00.852] [INFO] Progress: 127.5s/600s, 104 frames, 104 written, 0 switches
[2026-01-15 18:01:06.022] [INFO] Progress: 131.9s/600s, 114 frames, 114 written, 0 switches
[2026-01-15 18:01:11.787] [INFO] Progress: 138.0s/600s, 126 frames, 126 written, 0 switches
[2026-01-15 18:01:17.438] [INFO] Progress: 143.5s/600s, 142 frames, 142 written, 0 switches
[2026-01-15 18:01:22.443] [INFO] Progress: 149.5s/600s, 151 frames, 151 written, 0 switches
[2026-01-15 18:01:27.734] [INFO] Progress: 154.2s/600s, 164 frames, 164 written, 0 switches
[2026-01-15 18:01:34.027] [INFO] Progress: 159.6s/600s, 176 frames, 176 written, 0 switches
[2026-01-15 18:01:39.056] [INFO] Progress: 165.6s/600s, 188 frames, 188 written, 0 switches
[2026-01-15 18:01:44.344] [INFO] Progress: 170.7s/600s, 202 frames, 202 written, 0 switches
[2026-01-15 18:01:50.025] [INFO] Progress: 176.1s/600s, 210 frames, 210 written, 0 switches
[2026-01-15 18:01:55.377] [INFO] Progress: 181.8s/600s, 226 frames, 226 written, 0 switches
[2026-01-15 18:02:00.890] [INFO] Progress: 186.4s/600s, 236 frames, 236 written, 0 switches
[2026-01-15 18:02:05.894] [INFO] Progress: 192.4s/600s, 248 frames, 248 written, 0 switches
[2026-01-15 18:02:10.929] [INFO] Progress: 198.0s/600s, 261 frames, 261 written, 0 switches
[2026-01-15 18:02:16.112] [INFO] Progress: 202.4s/600s, 270 frames, 270 written, 0 switches
[2026-01-15 18:02:21.119] [INFO] Progress: 207.5s/600s, 282 frames, 282 written, 0 switches
[2026-01-15 18:02:27.037] [INFO] Progress: 213.1s/600s, 294 frames, 294 written, 0 switches
[2026-01-15 18:02:32.611] [INFO] Progress: 219.0s/600s, 306 frames, 306 written, 0 switches
[2026-01-15 18:02:38.068] [INFO] Progress: 224.2s/600s, 318 frames, 318 written, 0 switches
[2026-01-15 18:02:43.119] [INFO] Progress: 229.2s/600s, 330 frames, 330 written, 0 switches
[2026-01-15 18:02:48.512] [INFO] Progress: 234.5s/600s, 340 frames, 340 written, 0 switches
[2026-01-15 18:02:53.536] [INFO] Progress: 239.6s/600s, 350 frames, 350 written, 0 switches
[2026-01-15 18:02:58.602] [INFO] Progress: 244.5s/600s, 362 frames, 362 written, 0 switches
[2026-01-15 18:03:03.602] [INFO] Progress: 249.8s/600s, 372 frames, 372 written, 0 switches
[2026-01-15 18:03:08.610] [INFO] Progress: 255.2s/600s, 384 frames, 384 written, 0 switches
[2026-01-15 18:03:13.874] [INFO] Progress: 259.7s/600s, 394 frames, 394 written, 0 switches
